virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
IVA	50	0	0	1310600	870400
IVA	50	0	1	0	25500
IVA	50	0	2	0	1400
IVA	50	0	3	0	1400
IVA	50	0	4	0	500
IVA	50	0	5	0	1700
IVA	50	0	6	0	0
IVA	50	0	7	0	0
IVA	50	0	8	0	0
IVA	50	0	9	0	0
IVA	50	0	10	0	0
IVA	50	1	0	131829	0
IVA	50	1	1	1021826	870923
IVA	50	1	2	0	20026
IVA	50	1	3	0	1238
IVA	50	1	4	0	1059
IVA	50	1	5	0	501
IVA	50	1	6	0	770
IVA	50	1	7	0	0
IVA	50	1	8	0	0
IVA	50	1	9	0	0
IVA	50	1	10	0	0
IVA	50	2	0	27452	0
IVA	50	2	1	190238	129
IVA	50	2	2	523058	700382
IVA	50	2	3	0	12826
IVA	50	2	4	0	875
IVA	50	2	5	0	689
IVA	50	2	6	0	328
IVA	50	2	7	0	330
IVA	50	2	8	0	0
IVA	50	2	9	0	0
IVA	50	2	10	0	0
IVA	50	3	0	9310	0
IVA	50	3	1	52265	4
IVA	50	3	2	133179	781
IVA	50	3	3	216492	450999
IVA	50	3	4	0	7472
IVA	50	3	5	0	536
IVA	50	3	6	0	413
IVA	50	3	7	0	194
IVA	50	3	8	0	157
IVA	50	3	9	0	3
IVA	50	3	10	0	0
IVA	50	4	0	4179	0
IVA	50	4	1	19990	0
IVA	50	4	2	43202	36
IVA	50	4	3	65827	1769
IVA	50	4	4	74167	264390
IVA	50	4	5	0	4137
IVA	50	4	6	0	328
IVA	50	4	7	0	236
IVA	50	4	8	0	121
IVA	50	4	9	0	68
IVA	50	4	10	0	0
IVA	50	5	0	2413	0
IVA	50	5	1	9402	0
IVA	50	5	2	17316	2
IVA	50	5	3	22586	104
IVA	50	5	4	24782	2544
IVA	50	5	5	20729	144994
IVA	50	5	6	0	317
IVA	50	5	7	0	118
IVA	50	5	8	0	31
IVA	50	5	9	0	48
IVA	50	5	10	0	0
IVA	50	6	0	1758	0
IVA	50	6	1	5100	0
IVA	50	6	2	7584	0
IVA	50	6	3	8917	7
IVA	50	6	4	8493	161
IVA	50	6	5	6809	202
IVA	50	6	6	4171	52
IVA	50	6	7	0	24
IVA	50	6	8	0	2
IVA	50	6	9	0	7
IVA	50	6	10	0	1
IVA	50	7	0	1610	0
IVA	50	7	1	2969	0
IVA	50	7	2	3492	0
IVA	50	7	3	3394	0
IVA	50	7	4	2842	4
IVA	50	7	5	1993	12
IVA	50	7	6	1171	4
IVA	50	7	7	376	1
IVA	50	7	8	0	0
IVA	50	7	9	0	0
IVA	50	7	10	0	0
IVA	50	8	0	1347	0
IVA	50	8	1	1510	0
IVA	50	8	2	1343	0
IVA	50	8	3	1217	0
IVA	50	8	4	865	1
IVA	50	8	5	456	0
IVA	50	8	6	188	1
IVA	50	8	7	31	0
IVA	50	8	8	0	0
IVA	50	8	9	0	0
IVA	50	8	10	0	0
IVA	50	9	0	847	0
IVA	50	9	1	638	0
IVA	50	9	2	473	0
IVA	50	9	3	336	0
IVA	50	9	4	189	0
IVA	50	9	5	85	0
IVA	50	9	6	21	0
IVA	50	9	7	0	0
IVA	50	9	8	0	0
IVA	50	9	9	0	0
IVA	50	9	10	0	0
IVA	50	10	0	417	0
IVA	50	10	1	240	0
IVA	50	10	2	144	0
