virus	length	Expect_errors	Actual_error	expected_Escape_blast	expected_Escape_bowtie
HIV	50	0	0	894500	870400
HIV	50	0	1	0	25500
HIV	50	0	2	0	1400
HIV	50	0	3	0	1400
HIV	50	0	4	0	500
HIV	50	0	5	0	1700
HIV	50	0	6	0	0
HIV	50	0	7	0	0
HIV	50	0	8	0	0
HIV	50	0	9	0	0
HIV	50	0	10	0	0
HIV	50	1	0	90541	0
HIV	50	1	1	689877	870923
HIV	50	1	2	0	20026
HIV	50	1	3	0	1238
HIV	50	1	4	0	1059
HIV	50	1	5	0	501
HIV	50	1	6	0	770
HIV	50	1	7	0	0
HIV	50	1	8	0	0
HIV	50	1	9	0	0
HIV	50	1	10	0	0
HIV	50	2	0	18694	0
HIV	50	2	1	128562	129
HIV	50	2	2	353380	700382
HIV	50	2	3	0	12826
HIV	50	2	4	0	875
HIV	50	2	5	0	689
HIV	50	2	6	0	328
HIV	50	2	7	0	330
HIV	50	2	8	0	0
HIV	50	2	9	0	0
HIV	50	2	10	0	0
HIV	50	3	0	6436	0
HIV	50	3	1	35724	4
HIV	50	3	2	90208	781
HIV	50	3	3	144870	450999
HIV	50	3	4	0	7472
HIV	50	3	5	0	536
HIV	50	3	6	0	413
HIV	50	3	7	0	194
HIV	50	3	8	0	157
HIV	50	3	9	0	3
HIV	50	3	10	0	0
HIV	50	4	0	2889	0
HIV	50	4	1	13563	0
HIV	50	4	2	29023	36
HIV	50	4	3	44444	1769
HIV	50	4	4	49880	264390
HIV	50	4	5	0	4137
HIV	50	4	6	0	328
HIV	50	4	7	0	236
HIV	50	4	8	0	121
HIV	50	4	9	0	68
HIV	50	4	10	0	0
HIV	50	5	0	1661	0
HIV	50	5	1	6417	0
HIV	50	5	2	11782	2
HIV	50	5	3	15393	104
HIV	50	5	4	16737	2544
HIV	50	5	5	13831	144994
HIV	50	5	6	0	317
HIV	50	5	7	0	118
HIV	50	5	8	0	31
HIV	50	5	9	0	48
HIV	50	5	10	0	0
HIV	50	6	0	1211	0
HIV	50	6	1	3467	0
HIV	50	6	2	5115	0
HIV	50	6	3	6033	7
HIV	50	6	4	5677	161
HIV	50	6	5	4609	202
HIV	50	6	6	2765	52
HIV	50	6	7	0	24
HIV	50	6	8	0	2
HIV	50	6	9	0	7
HIV	50	6	10	0	1
HIV	50	7	0	1064	0
HIV	50	7	1	1986	0
HIV	50	7	2	2314	0
HIV	50	7	3	2236	0
HIV	50	7	4	1989	4
HIV	50	7	5	1368	12
HIV	50	7	6	764	4
HIV	50	7	7	274	1
HIV	50	7	8	0	0
HIV	50	7	9	0	0
HIV	50	7	10	0	0
HIV	50	8	0	996	0
HIV	50	8	1	1016	0
HIV	50	8	2	972	0
HIV	50	8	3	799	0
HIV	50	8	4	603	1
HIV	50	8	5	300	0
HIV	50	8	6	111	1
HIV	50	8	7	15	0
HIV	50	8	8	0	0
HIV	50	8	9	0	0
HIV	50	8	10	0	0
HIV	50	9	0	607	0
HIV	50	9	1	409	0
HIV	50	9	2	319	0
HIV	50	9	3	202	0
HIV	50	9	4	140	0
HIV	50	9	5	58	0
HIV	50	9	6	15	0
HIV	50	9	7	0	0
HIV	50	9	8	0	0
HIV	50	9	9	0	0
HIV	50	9	10	0	0
HIV	50	10	0	290	0
HIV	50	10	1	152	0
HIV	50	10	2	90	0
HIV	50	10	3	50	0
HIV	50	10	4	19	0
HIV	50	10	5	6	0
HIV	50	10	6	0	0
HIV	50	10	7	0	0
HIV	50	10	8	0	0
HIV	50	10	9	0	0
HIV	50	10	10	0	0
HIV	150	0	0	892300	800400
HIV	150	0	1	0	75500
HIV	150	0	2	0	1400
HIV	150	0	3	0	1400
HIV	150	0	4	0	500
